url	orgao
http://transparencia.campogrande.ms.gov.br/	Portal da Transparência do Município de Campo Grande
https://www.gp.srv.br/transparencia_altafloresta/servlet/home_portal_v2	Portal da Transparência do Município de Alta Floresta
http://fiorilli.barradogarcas.mt.gov.br:8079/transparencia/	Portal da Transparência do Município de Barra do Garça
http://www.caceres.mt.gov.br/transparencia/	Portal da Transparência do Município de Cáceres
http://transparencia.cuiaba.mt.gov.br/transparencia/servlet/portalcuiaba	Portal da Transparência do Município de Cuiabá
http://www.novaubirata.mt.gov.br/downloads/transparencia/	Portal da Transparência do Município de Nova Ubiratã
https://www.gp.srv.br/transparencia_sinop/servlet/home_portal_v2	Portal da Transparência do Município de Sinop
https://prefeitura.pbh.gov.br/transparencia	Portal da Transparência do Município de Belo Horizonte
https://dados.pbh.gov.br/	Portal de Dados Abertos
http://servicos.betim.mg.gov.br/appsgi/servlet/wmtranspinicial	Portal da Transparência do Município de Betim
http://www.contagem.mg.gov.br/?og=527684&te=apresentacao	Portal da Transparência do Município de Contagem
https://diamantina.mg.gov.br/a-prefeitura/transparencia/	Portal da Transparência do Município de Diamantina
http://cidadesmg.com.br/portaltransparencia/faces/user/portal.xhtml?Param=PMJanauba	Portal da Transparência do Município de Janaúba
https://januaria-mg.portaltp.com.br/	Portal da Transparência do Município de Januária
https://japonvar.mg.gov.br/transparencia/	Portal da Transparência do Município de Japonvar
https://www.pjf.mg.gov.br/transparencia/index.php	Portal da Transparência do Município de Juiz de Fora
http://cidadesmg.com.br/portaltransparencia/faces/user/portal.xhtml?Param=MatoVerde	Portal da Transparência do Município de Mato Verde
http://merces.mg.gov.br/portal/	Portal da Transparência do Município de Mercês
http://cidadesmg.com.br/portaltransparencia/faces/user/portal.xhtml?Param=MonteAzul	Portal da Transparência do Município de Monte Azul
http://sis.montesclaros.mg.gov.br/transparencia	Portal da Transparência do Município de Montes Claros
https://www.riachodosmachados.mg.gov.br/transparencia	Portal da Transparência do Município de Riacho dos Machados
http://www.ribeiraodasneves.mg.gov.br/transparencia	Portal da Transparência do Município de Ribeirão das Neves
http://www.uberaba.mg.gov.br/portal/conteudo,37644	Portal da Transparência do Município de Uberaba
http://www.uberlandia.mg.gov.br/?pagina=transparencia&id=879	Portal da Transparência do Município de Uberlândia
http://www.ananindeua.pa.gov.br/transparencia/?m=services#	Portal da Transparência do Município de Ananindeua
http://transparencia.belem.pa.gov.br/giig/portais/portaldatransparencia/defaultPortalV2.aspx	Portal da Transparência do Município de Belém
http://www.cajazeiras.pb.gov.br/transparencia.php	Portal da Transparência do Município de Cajazeiras
https://www.camaracg.pb.gov.br/transparencia/	Portal da Transparência da Câmara Municipal de Campina Grande
http://campinagrande.pb.gov.br/portal-da-transparencia/	Portal da Transparência do Município de Campina Grande
http://campinagrande.pb.gov.br/semanario-oficial/	Semanário Oficial do Município de Campina Grande
http://www.guarabira.pb.gov.br/portaldatransparencia/	Portal da Transparência do Município de Guarabira
https://inga.pb.gov.br/portal-da-transparencia/	Portal da Transparência do Município de Ingá
http://transparencia.itabaiana.pb.gov.br/	Portal da Transparência do Município de Itabaiana
https://transparencia.elmartecnologia.com.br/?e=101095	Portal da Transparência da Câmara Municipal de João Pessoa
https://transparencia.joaopessoa.pb.gov.br/#/	Portal da Transparência do Município de João Pessoa
http://www.joaopessoa.pb.gov.br/semanariooficial/	Semanário Oficial do Município de João Pessoa
https://transparencia.mamanguape.pb.gov.br/	Portal da Transparência do Município de Mamanguape
http://patos.pb.gov.br/servicos/portal_da_transparencia	Portal da Transparência do Município de Patos
https://www.picui.pb.gov.br/portal/transparencia-fiscal	Portal da Transparência do Município de Picuí
http://pombal.pb.gov.br/transparencia/	Portal da Transparência do Município de Pombal
https://www.santarita.pb.gov.br/transparencia/portal-da-transparencia/	Portal da Transparência do Município de Santa Rita
http://sousa.pb.gov.br/cont.php?pagina=transparencia	Portal da Transparência do Município de Sousa
https://cascavel.atende.net/?pg=transparencia#!/	Portal da Transparência do Município de Cascavel
http://curitiba.pr.gov.br/dadosabertos/	Portal de Dados Abertos do Município de Curitiba
https://www.londrina.pr.gov.br/transparencia	Portal da Transparência do Município de Londrina
http://venus.maringa.pr.gov.br:8090/portaltransparencia/	Portal da Transparência do Município de Maringá
http://transparencia.pontagrossa.pr.gov.br/	Portal da Transparência do Município de Ponta Grossa
http://transparencia.sjp.pr.gov.br/	Portal da Transparência do Município de São José dos Pinhais
http://consultoresassociadosprojetos.com/abreuelima/painel/	Portal da Transparência do Município de Abreu e Lima
